player_name,season,team,cap_hit
Alex Tuch,21-22,BUF,4750000
Alex Tuch,22-23,BUF,4750000
Alex Tuch,23-24,BUF,4750000
Alex Tuch,24-25,BUF,4750000
Alex Tuch,25-26,BUF,4750000
Bo Horvat,21-22,VAN,5500000
Bo Horvat,22-23,NYI,5500000
Bo Horvat,22-23,VAN,5500000
Bo Horvat,23-24,NYI,8500000
Bo Horvat,24-25,NYI,8500000
Bo Horvat,25-26,NYI,8500000
Brad Marchand,21-22,BOS,6125000
Brad Marchand,22-23,BOS,6125000
Brad Marchand,23-24,BOS,6125000
Brad Marchand,24-25,BOS,6125000
Brad Marchand,24-25,FLA,6125000
Brad Marchand,25-26,FLA,5250000
Brandon Hagel,21-22,CHI,6500000
Brandon Hagel,21-22,TBL,6500000
Brandon Hagel,22-23,TBL,6500000
Brandon Hagel,23-24,TBL,6500000
Brandon Hagel,24-25,TBL,6500000
Brandon Hagel,25-26,TBL,6500000
Brock Nelson,21-22,NYI,6000000
Brock Nelson,22-23,NYI,6000000
Brock Nelson,23-24,NYI,6000000
Brock Nelson,24-25,COL,6000000
Brock Nelson,24-25,NYI,6000000
Brock Nelson,25-26,COL,7500000
Cole Schwindt,24-25,VGK,775000
Cole Schwindt,25-26,FLA,775000
Harrison Brunicke,25-26,PIT,950000
J.T. Miller,21-22,VAN,5250000
J.T. Miller,22-23,VAN,5250000
J.T. Miller,23-24,VAN,8000000
J.T. Miller,24-25,NYR,8000000
J.T. Miller,24-25,VAN,8000000
J.T. Miller,25-26,NYR,8000000
Jack Eichel,21-22,VGK,10000000
Jack Eichel,22-23,VGK,10000000
Jack Eichel,23-24,VGK,10000000
Jack Eichel,24-25,VGK,10000000
Jack Eichel,25-26,VGK,10000000
Jake Guentzel,21-22,PIT,9000000
Jake Guentzel,22-23,PIT,9000000
Jake Guentzel,23-24,CAR,9000000
Jake Guentzel,23-24,PIT,9000000
Jake Guentzel,24-25,TBL,9000000
Jake Guentzel,25-26,TBL,9000000
Jakob Chychrun,21-22,ARI,9000000
Jakob Chychrun,22-23,ARI,9000000
Jakob Chychrun,22-23,OTT,9000000
Jakob Chychrun,23-24,OTT,9000000
Jakob Chychrun,24-25,WSH,9000000
Jakob Chychrun,25-26,WSH,9000000
Jonathan Huberdeau,21-22,FLA,10500000
Jonathan Huberdeau,22-23,CGY,10500000
Jonathan Huberdeau,23-24,CGY,10500000
Jonathan Huberdeau,24-25,CGY,10500000
Jonathan Huberdeau,25-26,CGY,10500000
Liam Ohgren,23-24,MIN,925000
Liam Ohgren,24-25,MIN,925000
Liam Ohgren,25-26,MIN,925000
Liam Ohgren,25-26,VAN,925000
Logan Stankoven,23-24,DAL,925000
