player_name,season,team,gp,xGAR,source
Alex Tuch,21-22,BUF,50,6.2,Evolving Hockey
Alex Tuch,22-23,BUF,74,18.8,Evolving Hockey
Alex Tuch,23-24,BUF,75,5.4,Evolving Hockey
Alex Tuch,24-25,BUF,82,12.3,Evolving Hockey
Alex Tuch,25-26,BUF,39,-1.1,Evolving Hockey
Bo Horvat,21-22,VAN,70,10.1,Evolving Hockey
Bo Horvat,22-23,NYI,30,0.2,Evolving Hockey
Bo Horvat,22-23,VAN,49,17.4,Evolving Hockey
Bo Horvat,23-24,NYI,81,14.8,Evolving Hockey
Bo Horvat,24-25,NYI,81,4.2,Evolving Hockey
Bo Horvat,25-26,NYI,36,10.6,Evolving Hockey
Brad Marchand,21-22,BOS,70,16.8,Evolving Hockey
Brad Marchand,22-23,BOS,73,7.2,Evolving Hockey
Brad Marchand,23-24,BOS,82,15.6,Evolving Hockey
Brad Marchand,24-25,BOS,61,7.2,Evolving Hockey
Brad Marchand,24-25,FLA,10,-0.6,Evolving Hockey
Brad Marchand,25-26,FLA,39,12,Evolving Hockey
Brandon Hagel,21-22,CHI,55,15.2,Evolving Hockey
Brandon Hagel,21-22,TBL,22,0.1,Evolving Hockey
Brandon Hagel,22-23,TBL,81,13.1,Evolving Hockey
Brandon Hagel,23-24,TBL,82,18.7,Evolving Hockey
Brandon Hagel,24-25,TBL,82,14.6,Evolving Hockey
Brandon Hagel,25-26,TBL,36,12.4,Evolving Hockey
Brock Nelson,21-22,NYI,72,24.1,Evolving Hockey
Brock Nelson,22-23,NYI,82,14.8,Evolving Hockey
Brock Nelson,23-24,NYI,82,6.5,Evolving Hockey
Brock Nelson,24-25,COL,19,0.3,Evolving Hockey
Brock Nelson,24-25,NYI,61,5.1,Evolving Hockey
Brock Nelson,25-26,COL,40,16.5,Evolving Hockey
Cole Schwindt,24-25,VGK,42,0.2,Evolving Hockey
Cole Schwindt,25-26,FLA,10,1,Evolving Hockey
Harrison Brunicke,25-26,PIT,9,0.4,Evolving Hockey
J.T. Miller,21-22,VAN,80,12.2,Evolving Hockey
J.T. Miller,22-23,VAN,81,3.5,Evolving Hockey
J.T. Miller,23-24,VAN,81,17.6,Evolving Hockey
J.T. Miller,24-25,NYR,32,4.2,Evolving Hockey
J.T. Miller,24-25,VAN,40,-0.3,Evolving Hockey
J.T. Miller,25-26,NYR,35,5,Evolving Hockey
Jack Eichel,21-22,VGK,34,3.2,Evolving Hockey
Jack Eichel,22-23,VGK,67,15.2,Evolving Hockey
Jack Eichel,23-24,VGK,63,17.1,Evolving Hockey
Jack Eichel,24-25,VGK,77,12.7,Evolving Hockey
Jack Eichel,25-26,VGK,32,9.7,Evolving Hockey
Jake Guentzel,21-22,PIT,76,11.4,Evolving Hockey
Jake Guentzel,22-23,PIT,78,6.7,Evolving Hockey
Jake Guentzel,23-24,CAR,17,4.4,Evolving Hockey
Jake Guentzel,23-24,PIT,50,8,Evolving Hockey
Jake Guentzel,24-25,TBL,80,23.1,Evolving Hockey
Jake Guentzel,25-26,TBL,41,8.7,Evolving Hockey
Jakob Chychrun,21-22,ARI,47,2.5,Evolving Hockey
Jakob Chychrun,22-23,ARI,36,3.4,Evolving Hockey
Jakob Chychrun,22-23,OTT,12,1.2,Evolving Hockey
Jakob Chychrun,23-24,OTT,82,9.9,Evolving Hockey
Jakob Chychrun,24-25,WSH,74,12,Evolving Hockey
Jakob Chychrun,25-26,WSH,42,14.6,Evolving Hockey
Jonathan Huberdeau,21-22,FLA,80,7.8,Evolving Hockey
Jonathan Huberdeau,22-23,CGY,79,4.2,Evolving Hockey
Jonathan Huberdeau,23-24,CGY,81,2.7,Evolving Hockey
Jonathan Huberdeau,24-25,CGY,81,12.1,Evolving Hockey
Jonathan Huberdeau,25-26,CGY,36,4.4,Evolving Hockey
Liam Ohgren,23-24,MIN,4,0.5,Evolving Hockey
Liam Ohgren,24-25,MIN,24,-2,Evolving Hockey
Liam Ohgren,25-26,MIN,18,-3.4,Evolving Hockey
Liam Ohgren,25-26,VAN,10,2.4,Evolving Hockey
Logan Stankoven,23-24,DAL,24,4.3,Evolving Hockey
Logan Stankoven,24-25,CAR,19,-0.9,Evolving Hockey
Logan Stankoven,24-25,DAL,59,2.8,Evolving Hockey
Logan Stankoven,25-26,CAR,41,1.4,Evolving Hockey
MacKenzie Weegar,21-22,FLA,80,7.8,Evolving Hockey
MacKenzie Weegar,22-23,CGY,81,13.6,Evolving Hockey
MacKenzie Weegar,23-24,CGY,82,19.2,Evolving Hockey
MacKenzie Weegar,24-25,CGY,81,15.7,Evolving Hockey
MacKenzie Weegar,25-26,CGY,41,2.8,Evolving Hockey
Marco Rossi,22-23,MIN,19,-2.6,Evolving Hockey
Marco Rossi,23-24,MIN,82,12,Evolving Hockey
Marco Rossi,24-25,MIN,82,16.1,Evolving Hockey
Marco Rossi,25-26,MIN,17,3.7,Evolving Hockey
Marco Rossi,25-26,VAN,8,-1.1,Evolving Hockey
Matthew Tkachuk,21-22,CGY,82,28.9,Evolving Hockey
Matthew Tkachuk,22-23,FLA,79,31.2,Evolving Hockey
Matthew Tkachuk,23-24,FLA,80,4.3,Evolving Hockey
Matthew Tkachuk,24-25,FLA,52,12.2,Evolving Hockey
Mikhail Sergachev,21-22,TBL,78,2.3,Evolving Hockey
Mikhail Sergachev,22-23,TBL,79,13.2,Evolving Hockey
Mikhail Sergachev,23-24,TBL,34,1.2,Evolving Hockey
Mikhail Sergachev,24-25,UTA,77,16.5,Evolving Hockey
Mikhail Sergachev,25-26,UTA,42,0.9,Evolving Hockey
Mikko Rantanen,21-22,COL,75,18.6,Evolving Hockey
Mikko Rantanen,22-23,COL,82,22,Evolving Hockey
Mikko Rantanen,23-24,COL,80,12.8,Evolving Hockey
Mikko Rantanen,24-25,CAR,13,-1.1,Evolving Hockey
Mikko Rantanen,24-25,COL,49,4.4,Evolving Hockey
Mikko Rantanen,24-25,DAL,20,-3.5,Evolving Hockey
Mikko Rantanen,25-26,DAL,40,6.7,Evolving Hockey
Mitch Marner,21-22,TOR,72,24,Evolving Hockey
Mitch Marner,22-23,TOR,80,23.8,Evolving Hockey
Mitch Marner,23-24,TOR,69,16.7,Evolving Hockey
Mitch Marner,24-25,TOR,81,17.5,Evolving Hockey
Mitch Marner,25-26,VGK,39,9.6,Evolving Hockey
Nicolas Roy,21-22,VGK,78,2.3,Evolving Hockey
Nicolas Roy,22-23,VGK,65,7.4,Evolving Hockey
Nicolas Roy,23-24,VGK,70,3.4,Evolving Hockey
Nicolas Roy,24-25,VGK,71,5.6,Evolving Hockey
Nicolas Roy,25-26,TOR,38,1.6,Evolving Hockey
Oliver Bjorkstrand,21-22,CBJ,80,15.8,Evolving Hockey
Oliver Bjorkstrand,22-23,SEA,81,2.2,Evolving Hockey
Oliver Bjorkstrand,23-24,SEA,82,9.6,Evolving Hockey
Oliver Bjorkstrand,24-25,SEA,61,11.3,Evolving Hockey
Oliver Bjorkstrand,24-25,TBL,18,5.2,Evolving Hockey
Oliver Bjorkstrand,25-26,TBL,41,0.7,Evolving Hockey
Oliver Moore,24-25,CHI,9,-0.3,Evolving Hockey
Oliver Moore,25-26,CHI,29,1.2,Evolving Hockey
Peyton Krebs,21-22,BUF,48,-1.2,Evolving Hockey
Peyton Krebs,21-22,VGK,9,-1.8,Evolving Hockey
Peyton Krebs,22-23,BUF,74,0.5,Evolving Hockey
Peyton Krebs,23-24,BUF,80,-2.5,Evolving Hockey
Peyton Krebs,24-25,BUF,81,-1.6,Evolving Hockey
Peyton Krebs,25-26,BUF,40,-1.1,Evolving Hockey
Quinn Hughes,21-22,VAN,76,14,Evolving Hockey
Quinn Hughes,22-23,VAN,78,9.4,Evolving Hockey
Quinn Hughes,23-24,VAN,82,29.9,Evolving Hockey
Quinn Hughes,24-25,VAN,68,26.4,Evolving Hockey
Quinn Hughes,25-26,MIN,11,4.9,Evolving Hockey
Quinn Hughes,25-26,VAN,26,6.1,Evolving Hockey
Seth Jones,21-22,CHI,78,5.3,Evolving Hockey
Seth Jones,22-23,CHI,72,13.8,Evolving Hockey
Seth Jones,23-24,CHI,67,2.2,Evolving Hockey
Seth Jones,24-25,CHI,42,5.4,Evolving Hockey
Seth Jones,24-25,FLA,21,1.4,Evolving Hockey
Seth Jones,25-26,FLA,40,8.5,Evolving Hockey
Timo Meier,21-22,SJS,77,18.1,Evolving Hockey
Timo Meier,22-23,NJD,21,0.4,Evolving Hockey
Timo Meier,22-23,SJS,57,19,Evolving Hockey
Timo Meier,23-24,NJD,69,5.8,Evolving Hockey
Timo Meier,24-25,NJD,80,6.2,Evolving Hockey
Timo Meier,25-26,NJD,36,0,Evolving Hockey
Tomas Hertl,21-22,SJS,82,10.1,Evolving Hockey
Tomas Hertl,22-23,SJS,79,-2.1,Evolving Hockey
Tomas Hertl,23-24,SJS,48,6.4,Evolving Hockey
Tomas Hertl,23-24,VGK,6,1.1,Evolving Hockey
Tomas Hertl,24-25,VGK,73,12.9,Evolving Hockey
Tomas Hertl,25-26,VGK,39,3.7,Evolving Hockey
Vladimir Tarasenko,21-22,STL,75,4.8,Evolving Hockey
Vladimir Tarasenko,22-23,NYR,31,-2.1,Evolving Hockey
Vladimir Tarasenko,22-23,STL,38,0.6,Evolving Hockey
Vladimir Tarasenko,23-24,FLA,19,3.4,Evolving Hockey
Vladimir Tarasenko,23-24,OTT,57,3.9,Evolving Hockey
Vladimir Tarasenko,24-25,DET,80,-2.3,Evolving Hockey
Vladimir Tarasenko,25-26,MIN,36,-1,Evolving Hockey
Yanni Gourde,21-22,SEA,74,10.9,Evolving Hockey
Yanni Gourde,22-23,SEA,81,9,Evolving Hockey
Yanni Gourde,23-24,SEA,80,4.2,Evolving Hockey
Yanni Gourde,24-25,SEA,36,4.5,Evolving Hockey
Yanni Gourde,24-25,TBL,21,-1.7,Evolving Hockey
Yanni Gourde,25-26,TBL,41,3.6,Evolving Hockey
Zeev Buium,25-26,MIN,31,-0.9,Evolving Hockey
Zeev Buium,25-26,VAN,10,0.4,Evolving Hockey
