trade_id,from_team,to_team,asset_type,asset_name,asset_detail,acq_date,end_date,conditional_flag,condition_notes,condition_validation
20211104_BUF_VGK,BUF,VGK,PLAYER,Jack Eichel,,2021-11-04,,N,,
20211104_BUF_VGK,VGK,BUF,PLAYER,Alex Tuch,,2021-11-04,,N,,
20211104_BUF_VGK,VGK,BUF,PLAYER,Peyton Krebs,,2021-11-04,,N,,
20211104_BUF_VGK,VGK,BUF,PICK,2022 1st Round Pick,Used on Noah Östlund,2021-11-04,2022-07-07,N,,CONVEYED
20211104_BUF_VGK,DRAFT,BUF,PLAYER,Noah Östlund,Drafted with 2022 1st,2022-07-07,,N,,
20211104_BUF_VGK,VGK,BUF,PICK,2023 2nd Round Pick,,2021-11-04,,N,,DRAFT_OCCURRED_NEEDS_USED_ON_PLAYER_MAPPING
20211104_BUF_VGK,DRAFT,MIN,PROSPECT,Riley Heidt,Drafted with 2023 2nd Round Pick,2023-06-28,,0,,
20211104_BUF_VGK,BUF,VGK,PICK,2023 3rd Round Pick,Used on Mathieu Cataford,2021-11-04,2023-06-28,N,,CONVEYED
20211104_BUF_VGK,DRAFT,VGK,PROSPECT,Mathieu Cataford,Drafted with 2023 3rd Round Pick,2023-06-28,,N,,
20220722_CGY_FLA,CGY,FLA,PLAYER,Matthew Tkachuk,,2022-07-22,,N,,
20220722_CGY_FLA,FLA,CGY,PLAYER,Jonathan Huberdeau,,2022-07-22,,N,,
20220722_CGY_FLA,FLA,CGY,PLAYER,MacKenzie Weegar,,2022-07-22,,N,,
20220722_CGY_FLA,FLA,CGY,PLAYER,Cole Schwindt,,2022-07-22,,N,,
20220722_CGY_FLA,FLA,CGY,PICK,2025 1st Round Pick,Conditional,2022-07-22,,Y,Conveys to CGY only if (a) FLA 2024 1st not top-10 and goes to PHI AND (b) FLA 2025 1st not top-10.,CONDITION_MET__CONVEYED_AND_USED
20220722_CGY_FLA,DRAFT,CGY,PROSPECT,Cullen Potter,Drafted with 2025 1st Round Pick,2025-06-27,,0,,
20220722_CGY_FLA,CGY,FLA,PICK,2025 4th Round Pick,Conditional (only if CGY receives 2025 1st),2022-07-22,,Y,Transfers to FLA if CGY receives the conditional 2025 1st from FLA.,CONDITION_MET__CONVEYED_AND_USED
20220722_CGY_FLA,DRAFT,FLA,PROSPECT,Mads Kongsbak Klyvo,Drafted with 2025 4th Round Pick,2025-06-28,,0,,
20251213_VAN_MIN,VAN,MIN,PLAYER,Quinn Hughes,,2025-12-13,,N,,
